Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp1_MainTable,c10_vgg11_vgg11_T1,REC,vgg11 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,4927,92.8%,83.2%,suspect_top1,0.0196,0.0e+00,True,82.7%,0.0187,0.0e+00,True,82.6%,0.0164,3.8e-219,True,82.7%,0.0140,1.8e-166,True
Exp1_MainTable,c10_vgg11_vgg11_T3,REC,vgg11 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,5016,92.8%,83.3%,mean_rest,0.0081,0.0e+00,True,82.6%,0.0071,1.9e-309,True,82.0%,0.0056,4.1e-244,True,82.1%,0.0048,4.5e-212,True
Exp1_MainTable,c10_vgg11_vgg11_T3,REC,vgg11 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,5016,92.8%,83.3%,single_ctrl,0.0069,6.4e-219,True,82.6%,0.0059,1.8e-178,True,82.0%,0.0042,2.4e-104,True,82.1%,0.0032,2.1e-55,True
Exp1_MainTable,c10_vgg11_vgg11_T3,REC,vgg11 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,5016,92.8%,83.3%,suspect_top1,0.0069,7.6e-220,True,82.6%,0.0059,1.3e-179,True,82.0%,0.0042,9.7e-105,True,82.1%,0.0032,1.4e-55,True
Exp1_MainTable,c10_vgg11_vgg11_T5,REC,vgg11 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,4981,92.8%,84.4%,mean_rest,0.0053,1.2e-178,True,83.8%,0.0048,3.8e-164,True,82.5%,0.0039,2.2e-131,True,83.3%,0.0041,2.9e-119,True
Exp1_MainTable,c10_vgg11_vgg11_T5,REC,vgg11 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,4981,92.8%,84.4%,single_ctrl,0.0037,1.2e-53,True,83.8%,0.0032,8.4e-41,True,82.5%,0.0026,2.1e-32,True,83.3%,0.0028,7.5e-27,True
Exp1_MainTable,c10_vgg11_vgg11_T5,REC,vgg11 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,4981,92.8%,84.4%,suspect_top1,0.0037,1.9e-54,True,83.8%,0.0032,3.1e-41,True,82.5%,0.0026,1.2e-33,True,83.3%,0.0028,2.9e-27,True
Exp1_MainTable,c10_vgg11_vgg11_T10,REC,vgg11 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,5022,92.8%,84.3%,mean_rest,0.0054,6.3e-218,True,83.9%,0.0046,3.3e-169,True,83.4%,0.0035,2.9e-105,True,83.5%,0.0030,4.2e-76,True
Exp1_MainTable,c10_vgg11_vgg11_T10,REC,vgg11 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,5022,92.8%,84.3%,single_ctrl,0.0041,9.0e-117,True,83.9%,0.0031,5.3e-71,True,83.4%,0.0015,3.8e-29,True,83.5%,0.0009,1.0e-19,False
Exp1_MainTable,c10_vgg11_vgg11_T10,REC,vgg11 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,5022,92.8%,84.3%,suspect_top1,0.0041,3.7e-116,True,83.9%,0.0031,1.3e-70,True,83.4%,0.0014,2.8e-28,True,83.5%,0.0009,1.8e-19,False
